Commodity,Unit,Country,Quantity,Value
OTHER COMMODITIES,,UNSPECIFIED,,6994.362548
OTHER COMMODITIES,,KENYA,,3.058141
OTHER COMMODITIES,,TANZANIA REP,,7.582766
OTHER COMMODITIES,,UGANDA,,5.7e-05
OTHER COMMODITIES,,BENIN,,5.537281
OTHER COMMODITIES,,CAMEROON,,2.656753
OTHER COMMODITIES,,C AFRI REP,,0.002264
OTHER COMMODITIES,,CHAD,,2.595296
OTHER COMMODITIES,,CONGO P REP,,1.392387
OTHER COMMODITIES,,GABON,,0.431098
OTHER COMMODITIES,,COTE D' IVOIRE,,3.140688
OTHER COMMODITIES,,MADAGASCAR,,14.753161
OTHER COMMODITIES,,MAURITANIA,,1.951013
OTHER COMMODITIES,,MAURITIUS,,0.921572
OTHER COMMODITIES,,NIGER,,0.000303
OTHER COMMODITIES,,SENEGAL,,4.103061
OTHER COMMODITIES,,TOGO,,3.816957
OTHER COMMODITIES,,CONGO D. REP.,,3.033555
OTHER COMMODITIES,,CAPE VERDE IS,,0.181719
OTHER COMMODITIES,,COMOROS,,0.085472
OTHER COMMODITIES,,DJIBOUTI,,0.178892
OTHER COMMODITIES,,ETHIOPIA,,0.520232
OTHER COMMODITIES,,EQUTL GUINEA,,0.397377
OTHER COMMODITIES,,GAMBIA,,1.309186
OTHER COMMODITIES,,GHANA,,4.206529
OTHER COMMODITIES,,GUINEA,,3.452087
OTHER COMMODITIES,,GUINEA BISSAU,,0.119834
OTHER COMMODITIES,,LIBERIA,,1.003406
OTHER COMMODITIES,,MALAWI,,0.000171
OTHER COMMODITIES,,MALI,,4.931787
OTHER COMMODITIES,,MOZAMBIQUE,,1.864367
OTHER COMMODITIES,,NAMIBIA,,1.793101
OTHER COMMODITIES,,NIGERIA,,3.392093
OTHER COMMODITIES,,REUNION,,0.632514
OTHER COMMODITIES,,SEYCHELLES,,0.002886
OTHER COMMODITIES,,SIERRA LEONE,,1.377874
OTHER COMMODITIES,,SOMALIA,,0.992959
OTHER COMMODITIES,,SWAZILAND,,0.150886
OTHER COMMODITIES,,ZAMBIA,,5.68407
OTHER COMMODITIES,,ALGERIA,,0.000145
OTHER COMMODITIES,,EGYPT A RP,,5.333657
