Commodity,Unit,Country,Quantity,Value
TEA,KGS,ARGENTINA,1621440.0,2.46
TEA,KGS,AUSTRALIA,3349.0,0.02
TEA,KGS,AUSTRIA,884.0,0.0
TEA,KGS,BELGIUM,2.0,0.0
TEA,KGS,BRAZIL,2.0,0.0
TEA,KGS,CANADA,56.0,0.0
TEA,KGS,CHINA P RP,314081.0,1.76
TEA,KGS,CZECH REPUBLIC,3648.0,0.04
TEA,KGS,DENMARK,8.0,0.0
TEA,KGS,ECUADOR,171417.0,0.41
TEA,KGS,FRANCE,394.0,0.07
TEA,KGS,GERMANY,83134.0,0.56
TEA,KGS,HONG KONG,80.0,0.0
TEA,KGS,INDONESIA,534416.0,0.82
TEA,KGS,IRAN,101620.0,0.25
TEA,KGS,ITALY,27.0,0.0
TEA,KGS,JAMAICA,6.0,0.0
TEA,KGS,JAPAN,13153.0,0.25
TEA,KGS,JORDAN,101022.0,0.23
TEA,KGS,KENYA,3122636.0,8.21
TEA,KGS,KOREA RP,1440.0,0.05
TEA,KGS,MALAWI,245360.0,0.46
TEA,KGS,MALAYSIA,40975.0,0.04
TEA,KGS,MAURITIUS,153.0,0.0
TEA,KGS,MOZAMBIQUE,250971.0,0.37
TEA,KGS,MYANMAR,19800.0,0.06
TEA,KGS,NEPAL,9827911.0,19.63
TEA,KGS,NETHERLAND,7780.0,0.02
TEA,KGS,POLAND,6202.0,0.02
TEA,KGS,QATAR,2149.0,0.01
TEA,KGS,SAUDI ARAB,7380.0,0.02
TEA,KGS,SINGAPORE,19398.0,0.38
TEA,KGS,SOUTH AFRICA,5400.0,0.03
TEA,KGS,SPAIN,76.0,0.0
TEA,KGS,SRI LANKA DSR,3303142.0,17.38
TEA,KGS,SUDAN,300.0,0.0
TEA,KGS,SWEDEN,1.0,0.0
TEA,KGS,SWITZERLAND,48.0,0.01
TEA,KGS,TAIWAN,74319.0,0.18
TEA,KGS,TANZANIA REP,313643.0,0.61
TEA,KGS,THAILAND,804.0,0.0
TEA,KGS,TURKEY,139026.0,0.31
TEA,KGS,U ARAB EMTS,285569.0,1.14
TEA,KGS,UK,158897.0,0.39
TEA,KGS,USA,43841.0,0.53
TEA,KGS,UNSPECIFIED,5308.0,0.05
TEA,KGS,VIETNAM SOC REP,1057651.0,1.55
TEA,KGS,ZIMBABWE,46300.0,0.1
COFFEE,KGS,AUSTRALIA,3.0,0.0
COFFEE,KGS,BELGIUM,1157485.0,1.81
COFFEE,KGS,BRAZIL,100268.0,0.21
