Commodity,Unit,Country,Quantity,Value
COTTON RAW INCLD. WASTE,TON,AUSTRALIA,29085.0,66.39
COTTON RAW INCLD. WASTE,TON,AUSTRIA,0.0,0.0
COTTON RAW INCLD. WASTE,TON,BANGLADESH PR,48503.0,19.15
COTTON RAW INCLD. WASTE,TON,BELGIUM,2.0,0.0
COTTON RAW INCLD. WASTE,TON,BELIZE,0.0,0.0
COTTON RAW INCLD. WASTE,TON,BENIN,214.0,0.25
COTTON RAW INCLD. WASTE,TON,BRAZIL,2960.0,5.96
COTTON RAW INCLD. WASTE,TON,BURKINA FASO,128.0,0.26
COTTON RAW INCLD. WASTE,TON,C AFRI REP,0.0,0.0
COTTON RAW INCLD. WASTE,TON,CAMEROON,3819.0,8.06
COTTON RAW INCLD. WASTE,TON,CHAD,60.0,0.13
COTTON RAW INCLD. WASTE,TON,CHINA P RP,377.0,0.88
COTTON RAW INCLD. WASTE,TON,COTE D' IVOIRE,1790.0,4.08
COTTON RAW INCLD. WASTE,TON,EGYPT A RP,43913.0,155.18
COTTON RAW INCLD. WASTE,TON,FRANCE,0.0,0.0
COTTON RAW INCLD. WASTE,TON,GERMANY,3272.0,9.42
COTTON RAW INCLD. WASTE,TON,GREECE,4634.0,12.33
COTTON RAW INCLD. WASTE,TON,GUINEA,0.0,0.0
COTTON RAW INCLD. WASTE,TON,HONG KONG,0.0,0.0
COTTON RAW INCLD. WASTE,TON,INDONESIA,198.0,0.27
COTTON RAW INCLD. WASTE,TON,ISRAEL,4152.0,14.09
COTTON RAW INCLD. WASTE,TON,ITALY,140.0,1.14
COTTON RAW INCLD. WASTE,TON,JAPAN,26.0,0.12
COTTON RAW INCLD. WASTE,TON,KYRGHYZSTAN,0.0,0.0
COTTON RAW INCLD. WASTE,TON,MALAWI,0.0,0.0
COTTON RAW INCLD. WASTE,TON,MALI,3134.0,7.8
COTTON RAW INCLD. WASTE,TON,MAURITANIA,0.0,0.0
COTTON RAW INCLD. WASTE,TON,MAURITIUS,358.0,0.06
COTTON RAW INCLD. WASTE,TON,MEXICO,404.0,0.93
COTTON RAW INCLD. WASTE,TON,MOZAMBIQUE,0.0,0.0
COTTON RAW INCLD. WASTE,TON,NETHERLAND,476.0,0.87
COTTON RAW INCLD. WASTE,TON,NIGERIA,84.0,0.13
COTTON RAW INCLD. WASTE,TON,OMAN,22.0,0.02
COTTON RAW INCLD. WASTE,TON,PHILIPPINES,0.0,0.0
COTTON RAW INCLD. WASTE,TON,SENEGAL,102.0,0.21
COTTON RAW INCLD. WASTE,TON,SINGAPORE,1454.0,2.7
COTTON RAW INCLD. WASTE,TON,SPAIN,68.0,0.21
COTTON RAW INCLD. WASTE,TON,SRI LANKA DSR,1.0,0.0
COTTON RAW INCLD. WASTE,TON,SUDAN,55.0,0.14
COTTON RAW INCLD. WASTE,TON,SWITZERLAND,2442.0,5.6
COTTON RAW INCLD. WASTE,TON,TAIWAN,0.0,0.0
COTTON RAW INCLD. WASTE,TON,TAJIKISTAN,0.0,0.0
COTTON RAW INCLD. WASTE,TON,TANZANIA REP,1297.0,2.9
COTTON RAW INCLD. WASTE,TON,TOGO,680.0,1.44
COTTON RAW INCLD. WASTE,TON,TURKEY,2800.0,9.29
COTTON RAW INCLD. WASTE,TON,U ARAB EMTS,0.0,0.0
COTTON RAW INCLD. WASTE,TON,USA,67589.0,229.51
COTTON RAW INCLD. WASTE,TON,UGANDA,0.0,0.0
COTTON RAW INCLD. WASTE,TON,VIETNAM SOC REP,23.0,0.03
VEGETABLE OILS,TON,ALGERIA,8027.0,11.8
VEGETABLE OILS,TON,ARGENTINA,2363576.0,3267.41
VEGETABLE OILS,TON,AUSTRALIA,0.0,0.0
VEGETABLE OILS,TON,BAHARAIN IS,0.0,0.0
VEGETABLE OILS,TON,BANGLADESH PR,32221.0,54.38
VEGETABLE OILS,TON,BELGIUM,424.0,0.82
VEGETABLE OILS,TON,BENIN,7844.0,13.64
VEGETABLE OILS,TON,BRAZIL,763959.0,1059.28
VEGETABLE OILS,TON,BULGARIA,16000.0,23.26
VEGETABLE OILS,TON,BURKINA FASO,0.0,0.0
VEGETABLE OILS,TON,CAMBODIA,17601.0,21.32
VEGETABLE OILS,TON,CAMEROON,0.0,0.0
