Commodity,Unit,Country,Quantity,Value
TEA,KGS,ARGENTINA,887980.0,1.415
TEA,KGS,AUSTRALIA,11.0,0.001
TEA,KGS,BAHARAIN IS,336.0,0.006
TEA,KGS,BRAZIL,1600.0,0.014
TEA,KGS,CHINA P RP,732426.0,2.824
TEA,KGS,CROATIA,3000.0,0.021
TEA,KGS,CYPRUS,2.0,0.0
TEA,KGS,CZECH REPUBLIC,3729.0,0.051
TEA,KGS,ETHIOPIA,191.0,0.0
TEA,KGS,FRANCE,625.0,0.008
TEA,KGS,GERMANY,62162.0,0.34
TEA,KGS,HONG KONG,698.0,0.01
TEA,KGS,INDONESIA,826491.0,1.252
TEA,KGS,IRAN,3365796.0,3.76
TEA,KGS,ITALY,325.0,0.022
TEA,KGS,JAPAN,41064.0,0.26
TEA,KGS,KENYA,2027875.0,6.385
TEA,KGS,KOREA RP,908.0,0.019
TEA,KGS,KUWAIT,4000.0,0.015
TEA,KGS,MALAWI,487180.0,1.025
TEA,KGS,MALAYSIA,80356.0,0.073
TEA,KGS,MOROCCO,139.0,0.016
TEA,KGS,MOZAMBIQUE,120000.0,0.247
TEA,KGS,MYANMAR,19800.0,0.067
TEA,KGS,NEPAL,15874219.0,29.069
TEA,KGS,NETHERLAND,52.0,0.002
TEA,KGS,PAKISTAN IR,1300.0,0.008
TEA,KGS,POLAND,0.0,0.0
TEA,KGS,QATAR,5144.0,0.024
TEA,KGS,RWANDA,1.0,0.0
TEA,KGS,SAUDI ARAB,5920.0,0.024
TEA,KGS,SINGAPORE,22332.0,0.377
TEA,KGS,SOUTH AFRICA,28224.0,0.215
TEA,KGS,SRI LANKA DSR,1022422.0,5.53
TEA,KGS,SWITZERLAND,206.0,0.008
TEA,KGS,TAIWAN,59270.0,0.126
TEA,KGS,TANZANIA REP,322000.0,0.72
TEA,KGS,THAILAND,2518.0,0.006
TEA,KGS,TURKEY,29400.0,0.069
TEA,KGS,U ARAB EMTS,47685.0,0.127
TEA,KGS,UK,692077.0,1.7
TEA,KGS,USA,605263.0,1.525
TEA,KGS,UGANDA,176.0,0.0
TEA,KGS,UNSPECIFIED,60011.0,0.177
TEA,KGS,VIETNAM SOC REP,921444.0,1.054
TEA,KGS,ZIMBABWE,485020.0,1.06
COFFEE,KGS,BELGIUM,144033.0,0.398
COFFEE,KGS,BRAZIL,67200.0,0.157
COFFEE,KGS,CHINA P RP,333000.0,0.702
COFFEE,KGS,COLOMBIA,72936.0,0.304
COFFEE,KGS,COTE D' IVOIRE,1025000.0,1.36
COFFEE,KGS,CZECH REPUBLIC,820.0,0.012
COFFEE,KGS,DJIBOUTI,173200.0,0.412
COFFEE,KGS,ESTONIA,38400.0,0.114
COFFEE,KGS,FRANCE,330.0,0.014
COFFEE,KGS,GERMANY,561782.0,1.364
COFFEE,KGS,HONDURAS,94875.0,0.133
COFFEE,KGS,HONG KONG,135.0,0.001
COFFEE,KGS,INDONESIA,1481178.0,4.398
COFFEE,KGS,ITALY,82973.0,0.647
COFFEE,KGS,JAPAN,71.0,0.005
COFFEE,KGS,JORDAN,18000.0,0.068
COFFEE,KGS,KENYA,11936838.0,16.777
COFFEE,KGS,KOREA RP,76329.0,1.524
COFFEE,KGS,MALAYSIA,25707.0,0.201
COFFEE,KGS,MEXICO,414000.0,0.624
COFFEE,KGS,NETHERLAND,4634.0,0.1
COFFEE,KGS,OMAN,53.0,0.001
COFFEE,KGS,PAPUA N GNA,694400.0,1.081
COFFEE,KGS,PERU,90735.0,0.138
COFFEE,KGS,QATAR,23520.0,0.08
COFFEE,KGS,RWANDA,360.0,0.003
COFFEE,KGS,SINGAPORE,27448.0,0.145
COFFEE,KGS,SPAIN,7.0,0.0
COFFEE,KGS,SRI LANKA DSR,40.0,0.001
COFFEE,KGS,SWITZERLAND,1400.0,0.045
COFFEE,KGS,TANZANIA REP,1583034.0,2.188
COFFEE,KGS,THAILAND,12851.0,0.03
COFFEE,KGS,U ARAB EMTS,117496.0,0.641
COFFEE,KGS,UK,32721.0,0.288
COFFEE,KGS,USA,49402.0,0.345
COFFEE,KGS,UGANDA,2567074.0,3.465
COFFEE,KGS,UNSPECIFIED,112720.0,0.46
COFFEE,KGS,VIETNAM SOC REP,60907690.0,99.445
RICE(OTHER THAN BASMOTI),TON,AUSTRIA,23.0,0.02
RICE(OTHER THAN BASMOTI),TON,BAHARAIN IS,61.0,0.033
RICE(OTHER THAN BASMOTI),TON,CANADA,0.0,0.001
RICE(OTHER THAN BASMOTI),TON,CHINA P RP,0.0,0.001
RICE(OTHER THAN BASMOTI),TON,GEORGIA,90.0,0.045
RICE(OTHER THAN BASMOTI),TON,ITALY,220.0,0.223
RICE(OTHER THAN BASMOTI),TON,KOREA RP,10.0,0.017
RICE(OTHER THAN BASMOTI),TON,MALAYSIA,154.0,0.081
RICE(OTHER THAN BASMOTI),TON,MALDIVES,10.0,0.009
RICE(OTHER THAN BASMOTI),TON,NEPAL,32.0,0.101
RICE(OTHER THAN BASMOTI),TON,PHILIPPINES,0.0,0.0
RICE(OTHER THAN BASMOTI),TON,QATAR,173.0,0.09
RICE(OTHER THAN BASMOTI),TON,RUSSIA,125.0,0.061
RICE(OTHER THAN BASMOTI),TON,SAUDI ARAB,168.0,0.11
RICE(OTHER THAN BASMOTI),TON,SINGAPORE,20.0,0.03
RICE(OTHER THAN BASMOTI),TON,SPAIN,576.0,0.486
RICE(OTHER THAN BASMOTI),TON,SRI LANKA DSR,234.0,0.083
RICE(OTHER THAN BASMOTI),TON,SUDAN,3316.0,1.569
RICE(OTHER THAN BASMOTI),TON,THAILAND,685.0,0.835
RICE(OTHER THAN BASMOTI),TON,U ARAB EMTS,67.0,0.057
RICE(OTHER THAN BASMOTI),TON,USA,430.0,0.469
RICE(OTHER THAN BASMOTI),TON,UKRAINE,26.0,0.009
RICE(OTHER THAN BASMOTI),TON,UNSPECIFIED,386.0,0.146
RICE(OTHER THAN BASMOTI),TON,VIETNAM SOC REP,63.0,0.082
WHEAT,TON,MEXICO,2.0,0.052
WHEAT,TON,PAKISTAN IR,2000.0,0.437
WHEAT,TON,UK,744.0,0.285
OTHER CEREALS,TON,ARGENTINA,135647.0,35.568
OTHER CEREALS,TON,AUSTRALIA,18370.0,6.066
OTHER CEREALS,TON,BRAZIL,7168.0,3.544
OTHER CEREALS,TON,CHILE,1026.0,0.345
OTHER CEREALS,TON,CHINA P RP,324.0,0.203
OTHER CEREALS,TON,FRANCE,5395.0,2.173
OTHER CEREALS,TON,INDONESIA,0.0,0.0
OTHER CEREALS,TON,ITALY,0.0,0.0
OTHER CEREALS,TON,JAPAN,233.0,0.114
OTHER CEREALS,TON,JORDAN,48.0,0.015
OTHER CEREALS,TON,LIBYA,48.0,0.018
OTHER CEREALS,TON,MALAYSIA,28.0,0.015
OTHER CEREALS,TON,MEXICO,0.0,0.0
OTHER CEREALS,TON,NEPAL,654.0,0.205
OTHER CEREALS,TON,NEW ZEALAND,84.0,0.029
OTHER CEREALS,TON,PHILIPPINES,0.0,0.001
OTHER CEREALS,TON,QATAR,120.0,0.03
OTHER CEREALS,TON,SINGAPORE,1.0,0.003
OTHER CEREALS,TON,SOUTH AFRICA,9584.0,4.5
OTHER CEREALS,TON,SPAIN,0.0,0.0
OTHER CEREALS,TON,TAIWAN,23.0,0.008
OTHER CEREALS,TON,THAILAND,0.0,0.001
OTHER CEREALS,TON,TURKEY,0.0,0.0
OTHER CEREALS,TON,UK,0.0,0.001
OTHER CEREALS,TON,USA,3498.0,2.106
OTHER CEREALS,TON,UKRAINE,62066.0,12.979
PULSES,TON,AFGHANISTAN,14868.0,11.213
PULSES,TON,ALGERIA,250.0,0.118
PULSES,TON,ARGENTINA,12476.0,6.836
PULSES,TON,AUSTRALIA,47100.0,24.061
PULSES,TON,AUSTRIA,10620.0,2.787
PULSES,TON,BOLIVIA,233.0,0.171
PULSES,TON,BR VIRGN IS,2206.0,0.559
PULSES,TON,BRAZIL,30051.0,20.816
PULSES,TON,CANADA,520321.0,178.817
PULSES,TON,CHINA P RP,41662.0,47.858
PULSES,TON,DJIBOUTI,13353.0,9.137
PULSES,TON,ETHIOPIA,28977.0,17.502
PULSES,TON,HONG KONG,125.0,0.032
PULSES,TON,IRAN,75.0,0.051
PULSES,TON,ITALY,100.0,0.088
PULSES,TON,KENYA,27923.0,18.626
PULSES,TON,KYRGHYZSTAN,2520.0,2.196
PULSES,TON,LATVIA,1017.0,0.286
PULSES,TON,LIBYA,72.0,0.095
PULSES,TON,LITHUANIA,53462.0,13.43
PULSES,TON,MADAGASCAR,1774.0,0.977
PULSES,TON,MALAWI,35849.0,14.323
PULSES,TON,MALAYSIA,25.0,0.02
PULSES,TON,MEXICO,345.0,0.305
PULSES,TON,MOLDOVA,1006.0,0.246
PULSES,TON,MOZAMBIQUE,228408.0,121.817
PULSES,TON,MYANMAR,700715.0,365.242
PULSES,TON,NETHERLAND,48847.0,14.448
PULSES,TON,NIGERIA,227.0,0.092
PULSES,TON,PAKISTAN IR,50.0,0.035
PULSES,TON,PARAGUAY,170.0,0.135
PULSES,TON,PHILIPPINES,120.0,0.079
PULSES,TON,QATAR,0.0,0.0
PULSES,TON,ROMANIA,4108.0,1.071
PULSES,TON,RUSSIA,155682.0,43.41
PULSES,TON,SAUDI ARAB,120.0,0.109
PULSES,TON,SINGAPORE,27492.0,11.573
PULSES,TON,SOUTH AFRICA,816.0,0.942
PULSES,TON,SRI LANKA DSR,109.0,0.032
PULSES,TON,SUDAN,98001.0,47.629
PULSES,TON,SWEDEN,27.0,0.042
PULSES,TON,TANZANIA REP,118438.0,62.603
PULSES,TON,THAILAND,29.0,0.036
PULSES,TON,TURKEY,39730.0,14.24
PULSES,TON,U ARAB EMTS,42216.0,18.091
PULSES,TON,UK,2371.0,0.754
PULSES,TON,USA,30091.0,14.972
PULSES,TON,UGANDA,1701.0,0.867
PULSES,TON,UKRAINE,179275.0,49.847
PULSES,TON,UNSPECIFIED,96.0,0.072
PULSES,TON,UZBEKISTAN,2169.0,1.778
PULSES,TON,VIETNAM SOC REP,432.0,0.222
PULSES,TON,ZAMBIA,25.0,0.066
TOBACCO UNMANUFACTURED,KGS,BELGIUM,348480.0,1.743
TOBACCO UNMANUFACTURED,KGS,BRAZIL,244825.0,1.362
TOBACCO UNMANUFACTURED,KGS,BULGARIA,152460.0,1.364
TOBACCO UNMANUFACTURED,KGS,CHINA P RP,118602.0,0.409
TOBACCO UNMANUFACTURED,KGS,EGYPT A RP,17500.0,0.023
TOBACCO UNMANUFACTURED,KGS,GERMANY,1175.0,0.003
TOBACCO UNMANUFACTURED,KGS,ITALY,9600.0,0.053
TOBACCO UNMANUFACTURED,KGS,MOZAMBIQUE,14734.0,0.037
TOBACCO UNMANUFACTURED,KGS,MYANMAR,48932.0,0.064
TOBACCO UNMANUFACTURED,KGS,POLAND,1400.0,0.01
TOBACCO UNMANUFACTURED,KGS,SOUTH AFRICA,39608.0,0.334
TOBACCO UNMANUFACTURED,KGS,TURKEY,359800.0,2.434
TOBACCO UNMANUFACTURED,KGS,U ARAB EMTS,184460.0,0.489
TOBACCO UNMANUFACTURED,KGS,UK,19800.0,0.126
TOBACCO UNMANUFACTURED,KGS,USA,79256.0,0.491
TOBACCO UNMANUFACTURED,KGS,YEMEN REPUBLC,242000.0,0.24
TOBACCO UNMANUFACTURED,KGS,ZAMBIA,79600.0,0.334
TOBACCO UNMANUFACTURED,KGS,ZIMBABWE,633600.0,4.966
TOBACCO MANUFACTURED,,ARUBA,1500.0,0.069
TOBACCO MANUFACTURED,,BANGLADESH PR,13240.0,0.13
TOBACCO MANUFACTURED,,BELGIUM,1302.0,0.021
TOBACCO MANUFACTURED,,CHINA P RP,224040.0,0.945
TOBACCO MANUFACTURED,,CROATIA,1200.0,0.078
TOBACCO MANUFACTURED,,CUBA,138.0,0.521
TOBACCO MANUFACTURED,,DOMINIC REP,9.0,0.021
TOBACCO MANUFACTURED,,FRANCE,304480.0,0.97
TOBACCO MANUFACTURED,,GERMANY,181847.0,5.452
TOBACCO MANUFACTURED,,HONG KONG,21126.0,0.923
TOBACCO MANUFACTURED,,INDONESIA,196428.0,2.097
TOBACCO MANUFACTURED,,IRELAND,11000.0,0.071
TOBACCO MANUFACTURED,,JAPAN,5.0,0.0
