Commodity,Unit,Country,Quantity,Value
OTHER COMMODITIES,,UNSPECIFIED,,371.280801
OTHER COMMODITIES,,KENYA,,18.251164
OTHER COMMODITIES,,TANZANIA REP,,21.8441
OTHER COMMODITIES,,UGANDA,,8.034605
OTHER COMMODITIES,,BENIN,,1.812666
OTHER COMMODITIES,,BURKINA FASO,,0.388851
OTHER COMMODITIES,,CAMEROON,,0.893831
OTHER COMMODITIES,,C AFRI REP,,0.520453
OTHER COMMODITIES,,CHAD,,0.008746
OTHER COMMODITIES,,CONGO P REP,,1.305564
OTHER COMMODITIES,,GABON,,0.189981
OTHER COMMODITIES,,COTE D' IVOIRE,,2.01026
OTHER COMMODITIES,,MADAGASCAR,,0.526392
OTHER COMMODITIES,,MAURITANIA,,0.179651
OTHER COMMODITIES,,MAURITIUS,,2.165936
OTHER COMMODITIES,,NIGER,,0.354779
OTHER COMMODITIES,,RWANDA,,0.694902
OTHER COMMODITIES,,SENEGAL,,0.583421
OTHER COMMODITIES,,TOGO,,1.846712
OTHER COMMODITIES,,CONGO D. REP.,,1.552282
OTHER COMMODITIES,,ANGOLA,,0.662927
OTHER COMMODITIES,,BOTSWANA,,0.050752
OTHER COMMODITIES,,BURUNDI,,2.860889
OTHER COMMODITIES,,CAPE VERDE IS,,0.127725
OTHER COMMODITIES,,COMOROS,,0.057967
OTHER COMMODITIES,,DJIBOUTI,,0.228736
OTHER COMMODITIES,,ETHIOPIA,,4.334386
OTHER COMMODITIES,,ERITREA,,0.046591
OTHER COMMODITIES,,EQUTL GUINEA,,0.016089
OTHER COMMODITIES,,GAMBIA,,0.113243
OTHER COMMODITIES,,GHANA,,26.957833
OTHER COMMODITIES,,GUINEA,,0.411008
OTHER COMMODITIES,,GUINEA BISSAU,,3e-06
OTHER COMMODITIES,,LESOTHO,,0.06313
OTHER COMMODITIES,,LIBERIA,,1.367514
OTHER COMMODITIES,,MALAWI,,19.440902
OTHER COMMODITIES,,MALI,,0.287403
OTHER COMMODITIES,,MOZAMBIQUE,,6.428245
OTHER COMMODITIES,,NAMIBIA,,0.338099
OTHER COMMODITIES,,NIGERIA,,25.85481
OTHER COMMODITIES,,REUNION,,0.183981
OTHER COMMODITIES,,SAO TOME,,0.003334
OTHER COMMODITIES,,SEYCHELLES,,0.479127
OTHER COMMODITIES,,SIERRA LEONE,,0.173877
OTHER COMMODITIES,,SOMALIA,,0.136208
OTHER COMMODITIES,,ST HELENA,,0.001412
OTHER COMMODITIES,,SWAZILAND,,0.097292
OTHER COMMODITIES,,ZAMBIA,,9.677725
OTHER COMMODITIES,,ALGERIA,,6.064376
OTHER COMMODITIES,,EGYPT A RP,,11.58499
OTHER COMMODITIES,,LIBYA,,0.791546
OTHER COMMODITIES,,MOROCCO,,2.447902
OTHER COMMODITIES,,SOUTH AFRICA,,42.915719
OTHER COMMODITIES,,SUDAN,,5.220935
OTHER COMMODITIES,,TUNISIA,,2.582924
OTHER COMMODITIES,,ZIMBABWE,,1.442721
OTHER COMMODITIES,,CANADA,,13.738763
OTHER COMMODITIES,,USA,,422.466925
OTHER COMMODITIES,,ARGENTINA,,2.608346
OTHER COMMODITIES,,BOLIVIA,,0.162109
OTHER COMMODITIES,,BRAZIL,,17.831487
OTHER COMMODITIES,,CHILE,,2.862085
OTHER COMMODITIES,,COLOMBIA,,1.413973
OTHER COMMODITIES,,ECUADOR,,0.314112
OTHER COMMODITIES,,PARAGUAY,,0.041355
OTHER COMMODITIES,,PERU,,2.455893
OTHER COMMODITIES,,URUGUAY,,0.353811
OTHER COMMODITIES,,VENEZUELA,,0.144113
OTHER COMMODITIES,,ANGUILLA,,0.0
OTHER COMMODITIES,,ANTIGUA,,0.005205
OTHER COMMODITIES,,ARUBA,,0.050526
OTHER COMMODITIES,,BAHAMAS,,0.027594
OTHER COMMODITIES,,BARBADOS,,0.042775
OTHER COMMODITIES,,BELIZE,,0.04776
OTHER COMMODITIES,,DOMINICA,,0.002141
OTHER COMMODITIES,,GRENADA,,0.008581
OTHER COMMODITIES,,GUYANA,,0.077646
OTHER COMMODITIES,,JAMAICA,,0.409961
OTHER COMMODITIES,,ST KITT N A,,0.068197
OTHER COMMODITIES,,ST LUCIA,,0.010207
OTHER COMMODITIES,,ST VINCENT,,0.00033
OTHER COMMODITIES,,TRINIDAD,,0.501924
OTHER COMMODITIES,,COSTA RICA,,0.348678
OTHER COMMODITIES,,EL SALVADOR,,0.343978
