Commodity,Unit,Country,Quantity,Value
TEA,KGS,AFGHANISTAN,996994.0,2.88
TEA,KGS,ALBANIA,250065.0,0.82
TEA,KGS,ALGERIA,109640.0,0.21
TEA,KGS,ANDORRA,32692.0,0.15
TEA,KGS,ANGOLA,11361.0,0.07
TEA,KGS,ARGENTINA,11.0,0.0
TEA,KGS,ARMENIA,2311.0,0.0
TEA,KGS,AUSTRALIA,3107210.0,17.25
TEA,KGS,AUSTRIA,1164.0,0.01
TEA,KGS,AZERBAIJAN,367209.0,1.24
TEA,KGS,BAHARAIN IS,430000.0,1.83
TEA,KGS,BANGLADESH PR,327957.0,0.75
TEA,KGS,BARBADOS,125.0,0.0
TEA,KGS,BELARUS,26175.0,0.11
TEA,KGS,BELGIUM,1066109.0,3.47
TEA,KGS,BENIN,36476.0,0.22
TEA,KGS,BHUTAN,171879.0,0.7
TEA,KGS,BOTSWANA,1024.0,0.01
TEA,KGS,BRAZIL,2301.0,0.03
TEA,KGS,BRUNEI,1081.0,0.0
TEA,KGS,BULGARIA,1178.0,0.02
TEA,KGS,BURKINA FASO,671370.0,3.75
TEA,KGS,CAMBODIA,611.0,0.0
TEA,KGS,CAMEROON,16458.0,0.14
TEA,KGS,CANADA,2643098.0,12.54
TEA,KGS,CAYMAN IS,151.0,0.0
TEA,KGS,CHAD,60.0,0.0
TEA,KGS,CHILE,24520.0,0.06
TEA,KGS,CHINA P RP,9231688.0,23.93
TEA,KGS,COLOMBIA,86927.0,0.14
TEA,KGS,CONGO D. REP.,80817.0,0.13
TEA,KGS,CONGO P REP,49908.0,0.19
TEA,KGS,COSTA RICA,4150.0,0.03
TEA,KGS,COTE D' IVOIRE,236212.0,1.14
TEA,KGS,CROATIA,9165.0,0.02
TEA,KGS,CYPRUS,2412.0,0.01
TEA,KGS,CZECH REPUBLIC,10141.0,0.19
TEA,KGS,DENMARK,47110.0,0.51
TEA,KGS,DOMINIC REP,210.0,0.0
TEA,KGS,ECUADOR,1000.0,0.0
TEA,KGS,EGYPT A RP,13283924.0,26.61
TEA,KGS,ESTONIA,80645.0,0.24
TEA,KGS,ETHIOPIA,2.0,0.0
TEA,KGS,FIJI IS,6715.0,0.03
TEA,KGS,FINLAND,968867.0,2.89
TEA,KGS,FRANCE,235795.0,2.1
TEA,KGS,GABON,202.0,0.0
TEA,KGS,GAMBIA,326881.0,1.31
TEA,KGS,GEORGIA,561244.0,1.52
TEA,KGS,GERMANY,11702801.0,42.93
TEA,KGS,GHANA,512137.0,3.03
TEA,KGS,GREECE,25492.0,0.05
TEA,KGS,GUADELOUPE,60.0,0.0
TEA,KGS,GUATEMALA,20.0,0.0
TEA,KGS,GUINEA,119277.0,0.53
TEA,KGS,GUINEA BISSAU,25.0,0.0
TEA,KGS,GUYANA,3872.0,0.01
TEA,KGS,HAITI,115.0,0.0
TEA,KGS,HONG KONG,220609.0,0.94
TEA,KGS,HUNGARY,122.0,0.0
TEA,KGS,INDONESIA,1038608.0,1.7
TEA,KGS,IRAN,32810837.0,126.36
TEA,KGS,IRAQ,2671595.0,5.2
TEA,KGS,IRELAND,1956259.0,13.96
TEA,KGS,ISRAEL,75527.0,0.26
TEA,KGS,ITALY,1417405.0,11.21
TEA,KGS,JAMAICA,50.0,0.0
TEA,KGS,JAPAN,3775672.0,24.21
TEA,KGS,JORDAN,123135.0,0.47
TEA,KGS,KAZAKHSTAN,10097608.0,27.4
TEA,KGS,KENYA,1219847.0,2.28
TEA,KGS,KOREA DP RP,1700.0,0.07
TEA,KGS,KOREA RP,92515.0,1.25
TEA,KGS,KUWAIT,1135466.0,4.27
TEA,KGS,KYRGHYZSTAN,32838.0,0.18
TEA,KGS,LAO PD RP,47.0,0.0
TEA,KGS,LATVIA,44078.0,0.19
TEA,KGS,LEBANON,7443.0,0.06
TEA,KGS,LIBERIA,744.0,0.0
TEA,KGS,LIBYA,566142.0,2.31
TEA,KGS,LITHUANIA,30490.0,0.18
TEA,KGS,MACAO,32.0,0.0
TEA,KGS,MADAGASCAR,376.0,0.0
TEA,KGS,MALAWI,630.0,0.0
TEA,KGS,MALAYSIA,4213672.0,6.97
TEA,KGS,MALDIVES,11523.0,0.07
TEA,KGS,MALI,186077.0,1.03
TEA,KGS,MALTA,46.0,0.0
TEA,KGS,MAURITIUS,18611.0,0.09
TEA,KGS,MEXICO,20265.0,0.24
TEA,KGS,MOLDOVA,5104.0,0.02
TEA,KGS,MONGOLIA,2450.0,0.02
TEA,KGS,MOROCCO,157670.0,0.4
TEA,KGS,MOZAMBIQUE,1636.0,0.01
TEA,KGS,MYANMAR,11.0,0.0
TEA,KGS,NEPAL,201443.0,0.86
TEA,KGS,NETHERLAND,4456156.0,17.75
TEA,KGS,NETHERLANDANTIL,24385.0,0.06
TEA,KGS,NEW ZEALAND,281454.0,1.41
TEA,KGS,NIGER,661921.0,3.34
TEA,KGS,NIGERIA,418678.0,1.56
TEA,KGS,NORWAY,35182.0,0.26
TEA,KGS,OMAN,479708.0,1.99
TEA,KGS,PAKISTAN IR,16366445.0,23.65
TEA,KGS,PANAMA REPUBLIC,63.0,0.0
TEA,KGS,PAPUA N GNA,820.0,0.0
TEA,KGS,PARAGUAY,50.0,0.0
TEA,KGS,PERU,41.0,0.0
TEA,KGS,PHILIPPINES,221139.0,1.53
TEA,KGS,POLAND,6299378.0,15.24
TEA,KGS,PORTUGAL,18464.0,0.05
TEA,KGS,PUERTO RICO,63763.0,0.46
TEA,KGS,QATAR,1465314.0,5.55
TEA,KGS,REUNION,4446.0,0.03
TEA,KGS,ROMANIA,570.0,0.0
TEA,KGS,RUSSIA,50734043.0,120.83
TEA,KGS,RWANDA,20760.0,0.04
TEA,KGS,SAUDI ARAB,4874720.0,19.86
TEA,KGS,SENEGAL,233989.0,1.05
TEA,KGS,SERBIA,103447.0,1.13
TEA,KGS,SEYCHELLES,8303.0,0.04
TEA,KGS,SIERRA LEONE,176833.0,0.58
TEA,KGS,SINGAPORE,592315.0,3.08
TEA,KGS,SLOVAK REP,54.0,0.0
TEA,KGS,SLOVENIA,1550.0,0.03
TEA,KGS,SOMALIA,324.0,0.0
TEA,KGS,SOUTH AFRICA,123770.0,0.67
TEA,KGS,SOUTH SUDAN,5508.0,0.02
TEA,KGS,SPAIN,1014202.0,1.52
TEA,KGS,SRI LANKA DSR,4616392.0,9.48
TEA,KGS,ST KITT N A,1095.0,0.01
TEA,KGS,SUDAN,300.0,0.0
TEA,KGS,SURINAME,76481.0,0.33
TEA,KGS,SWAZILAND,606.0,0.01
TEA,KGS,SWEDEN,229481.0,1.33
TEA,KGS,SWITZERLAND,41360.0,0.46
TEA,KGS,SYRIA,324315.0,1.01
TEA,KGS,TAIWAN,2904965.0,5.96
TEA,KGS,TAJIKISTAN,480631.0,1.22
TEA,KGS,TANZANIA REP,4993.0,0.02
TEA,KGS,THAILAND,131452.0,1.28
TEA,KGS,TOGO,23055.0,0.11
TEA,KGS,TRINIDAD,13132.0,0.08
TEA,KGS,TUNISIA,4063042.0,6.53
TEA,KGS,TURKEY,1797601.0,4.17
TEA,KGS,TURKMENISTAN,182591.0,0.48
TEA,KGS,U ARAB EMTS,21667263.0,66.28
TEA,KGS,UK,17720414.0,55.81
TEA,KGS,USA,15429435.0,64.34
TEA,KGS,UGANDA,1045.0,0.01
TEA,KGS,UKRAINE,3908199.0,9.02
TEA,KGS,UZBEKISTAN,320828.0,0.68
TEA,KGS,VENEZUELA,48.0,0.0
TEA,KGS,VIETNAM SOC REP,201341.0,0.84
TEA,KGS,YEMEN REPUBLC,27500.0,0.04
TEA,KGS,ZAMBIA,14292.0,0.07
COFFEE,KGS,ALBANIA,687600.0,1.49
COFFEE,KGS,ALGERIA,2497380.0,4.9
COFFEE,KGS,ARGENTINA,1560000.0,3.29
COFFEE,KGS,ARMENIA,44200.0,0.15
COFFEE,KGS,AUSTRALIA,7769761.0,20.1
COFFEE,KGS,AUSTRIA,14420.0,0.34
COFFEE,KGS,AZERBAIJAN,6900.0,0.07
COFFEE,KGS,BAHARAIN IS,89346.0,0.31
COFFEE,KGS,BANGLADESH PR,466973.0,3.77
COFFEE,KGS,BELARUS,474089.0,2.04
COFFEE,KGS,BELGIUM,18040576.0,55.93
COFFEE,KGS,BENIN,452876.0,3.77
COFFEE,KGS,BHUTAN,43251.0,0.33
COFFEE,KGS,BOTSWANA,25.0,0.0
COFFEE,KGS,BRUNEI,75.0,0.0
COFFEE,KGS,BULGARIA,134950.0,0.51
COFFEE,KGS,BURKINA FASO,82474.0,0.65
COFFEE,KGS,CAMEROON,131428.0,1.07
COFFEE,KGS,CANADA,1130335.0,2.78
COFFEE,KGS,CAPE VERDE IS,57000.0,0.14
COFFEE,KGS,CHILE,25.0,0.0
COFFEE,KGS,CHINA P RP,416699.0,1.95
COFFEE,KGS,CONGO D. REP.,25963.0,0.18
COFFEE,KGS,CONGO P REP,92055.0,0.87
COFFEE,KGS,COTE D' IVOIRE,67702.0,0.55
COFFEE,KGS,CROATIA,2269118.0,4.68
COFFEE,KGS,CYPRUS,19200.0,0.04
COFFEE,KGS,CZECH REPUBLIC,6373.0,0.05
COFFEE,KGS,DENMARK,1483239.0,2.75
COFFEE,KGS,EGYPT A RP,2737202.0,6.07
COFFEE,KGS,ESTONIA,349355.0,1.13
COFFEE,KGS,ETHIOPIA,778.0,0.01
COFFEE,KGS,FIJI IS,1260.0,0.02
COFFEE,KGS,FINLAND,1287759.0,7.07
COFFEE,KGS,FR POLYNESIA,26146.0,0.24
COFFEE,KGS,FRANCE,2638063.0,9.76
COFFEE,KGS,GABON,50828.0,0.37
COFFEE,KGS,GAMBIA,127182.0,0.98
COFFEE,KGS,GEORGIA,214174.0,0.95
COFFEE,KGS,GERMANY,37827500.0,93.83
COFFEE,KGS,GHANA,462779.0,3.87
COFFEE,KGS,GREECE,5587102.0,12.09
COFFEE,KGS,GUINEA,116834.0,0.91
COFFEE,KGS,GUINEA BISSAU,4044.0,0.03
COFFEE,KGS,HONG KONG,9459.0,0.04
COFFEE,KGS,HUNGARY,127713.0,0.7
COFFEE,KGS,INDONESIA,4499339.0,23.66
COFFEE,KGS,IRAN,1626635.0,4.32
COFFEE,KGS,IRAQ,208960.0,1.44
COFFEE,KGS,IRELAND,131.0,0.0
COFFEE,KGS,ISRAEL,4956422.0,12.79
COFFEE,KGS,ITALY,78164012.0,172.6
COFFEE,KGS,JAPAN,427958.0,2.26
COFFEE,KGS,JORDAN,10659632.0,29.63
COFFEE,KGS,KAZAKHSTAN,53361.0,0.38
COFFEE,KGS,KENYA,102148.0,0.68
COFFEE,KGS,KOREA RP,4469301.0,11.06
COFFEE,KGS,KUWAIT,6453272.0,20.22
COFFEE,KGS,KYRGHYZSTAN,20.0,0.0
COFFEE,KGS,LATVIA,373525.0,2.16
COFFEE,KGS,LEBANON,521200.0,1.22
COFFEE,KGS,LIBERIA,140.0,0.0
COFFEE,KGS,LIBYA,10464249.0,23.53
COFFEE,KGS,LITHUANIA,193182.0,1.33
COFFEE,KGS,MADAGASCAR,70.0,0.0
COFFEE,KGS,MALAYSIA,2828893.0,15.22
COFFEE,KGS,MALDIVES,4417.0,0.03
COFFEE,KGS,MALI,365936.0,2.74
COFFEE,KGS,MAURITANIA,292329.0,2.4
COFFEE,KGS,MAURITIUS,106.0,0.0
COFFEE,KGS,MEXICO,4453800.0,9.09
COFFEE,KGS,MOLDOVA,9208.0,0.1
COFFEE,KGS,MONTENEGRO,1461190.0,3.08
COFFEE,KGS,MOROCCO,2181658.0,4.65
COFFEE,KGS,MYANMAR,198500.0,1.05
COFFEE,KGS,NEPAL,309080.0,3.24
COFFEE,KGS,NETHERLAND,2613327.0,7.98
COFFEE,KGS,NETHERLANDANTIL,25.0,0.0
COFFEE,KGS,NEW CALEDONIA,57600.0,0.15
COFFEE,KGS,NEW ZEALAND,422164.0,1.2
COFFEE,KGS,NIGER,430429.0,3.87
COFFEE,KGS,NIGERIA,437476.0,2.98
COFFEE,KGS,NORWAY,144836.0,0.65
COFFEE,KGS,OMAN,1259339.0,3.09
COFFEE,KGS,PAKISTAN IR,8877.0,0.05
COFFEE,KGS,PANAMA REPUBLIC,2.0,0.0
COFFEE,KGS,PAPUA N GNA,1973.0,0.01
COFFEE,KGS,PERU,13020.0,0.03
COFFEE,KGS,PHILIPPINES,37850.0,0.27
COFFEE,KGS,POLAND,7192157.0,34.13
COFFEE,KGS,PORTUGAL,3754780.0,7.8
COFFEE,KGS,QATAR,404503.0,1.31
COFFEE,KGS,ROMANIA,929000.0,2.78
COFFEE,KGS,RUSSIA,13392085.0,68.62
COFFEE,KGS,SAUDI ARAB,4679141.0,14.45
COFFEE,KGS,SENEGAL,772686.0,5.78
COFFEE,KGS,SERBIA,4000.0,0.08
COFFEE,KGS,SEYCHELLES,370.0,0.0
COFFEE,KGS,SIERRA LEONE,17200.0,0.14
COFFEE,KGS,SINGAPORE,723407.0,4.56
COFFEE,KGS,SLOVAK REP,17505.0,0.09
COFFEE,KGS,SLOVENIA,8999606.0,18.31
COFFEE,KGS,SOUTH AFRICA,641136.0,1.42
COFFEE,KGS,SPAIN,9507676.0,20.84
COFFEE,KGS,SRI LANKA DSR,100336.0,0.36
COFFEE,KGS,SUDAN,15354.0,0.14
COFFEE,KGS,SWEDEN,434700.0,1.24
COFFEE,KGS,SWITZERLAND,1336743.0,4.4
COFFEE,KGS,SYRIA,2753645.0,7.26
COFFEE,KGS,TAIWAN,1756583.0,6.48
COFFEE,KGS,TAJIKISTAN,4620.0,0.05
COFFEE,KGS,TANZANIA REP,112.0,0.0
COFFEE,KGS,THAILAND,3499.0,0.03
COFFEE,KGS,TOGO,512762.0,4.3
COFFEE,KGS,TRINIDAD,108.0,0.0
COFFEE,KGS,TUNISIA,5611223.0,11.87
COFFEE,KGS,TURKEY,7092613.0,41.8
COFFEE,KGS,TURKMENISTAN,90613.0,0.81
COFFEE,KGS,U ARAB EMTS,2847130.0,9.16
COFFEE,KGS,UK,2502510.0,8.96
COFFEE,KGS,USA,5801454.0,48.88
COFFEE,KGS,UGANDA,220.0,0.0
COFFEE,KGS,UKRAINE,4259034.0,15.61
COFFEE,KGS,UZBEKISTAN,195409.0,1.03
COFFEE,KGS,VIETNAM SOC REP,1136664.0,5.9
COFFEE,KGS,ZAMBIA,586.0,0.0
RICE -BASMOTI,TON,AFGHANISTAN,1.0,0.0
RICE -BASMOTI,TON,ALGERIA,6320.0,6.86
RICE -BASMOTI,TON,ANGOLA,1030.0,1.17
RICE -BASMOTI,TON,ARGENTINA,75.0,0.12
RICE -BASMOTI,TON,ARMENIA,93.0,0.1
RICE -BASMOTI,TON,AUSTRALIA,32383.0,39.8
RICE -BASMOTI,TON,AUSTRIA,749.0,0.91
RICE -BASMOTI,TON,AZERBAIJAN,5479.0,5.2
RICE -BASMOTI,TON,BAHARAIN IS,31404.0,34.58
RICE -BASMOTI,TON,BANGLADESH PR,4602.0,3.41
RICE -BASMOTI,TON,BELARUS,4.0,0.01
RICE -BASMOTI,TON,BELGIUM,40061.0,40.93
RICE -BASMOTI,TON,BENIN,1880.0,1.73
RICE -BASMOTI,TON,BHUTAN,90.0,0.07
RICE -BASMOTI,TON,BOTSWANA,386.0,0.46
RICE -BASMOTI,TON,BRAZIL,20.0,0.03
RICE -BASMOTI,TON,BRUNEI,418.0,0.49
RICE -BASMOTI,TON,BULGARIA,122.0,0.13
RICE -BASMOTI,TON,BURKINA FASO,821.0,0.77
RICE -BASMOTI,TON,C AFRI REP,857.0,0.89
RICE -BASMOTI,TON,CAMBODIA,10.0,0.01
RICE -BASMOTI,TON,CAMEROON,206.0,0.22
RICE -BASMOTI,TON,CANADA,41234.0,47.87
RICE -BASMOTI,TON,CAYMAN IS,17.0,0.02
RICE -BASMOTI,TON,CHILE,185.0,0.22
RICE -BASMOTI,TON,CHINA P RP,52.0,0.05
RICE -BASMOTI,TON,COLOMBIA,60.0,0.07
RICE -BASMOTI,TON,COMOROS,361.0,0.39
RICE -BASMOTI,TON,CONGO D. REP.,55.0,0.05
RICE -BASMOTI,TON,CONGO P REP,204.0,0.27
RICE -BASMOTI,TON,COSTA RICA,14.0,0.02
RICE -BASMOTI,TON,COTE D' IVOIRE,1857.0,1.93
RICE -BASMOTI,TON,CROATIA,133.0,0.13
RICE -BASMOTI,TON,CYPRUS,756.0,0.79
RICE -BASMOTI,TON,CZECH REPUBLIC,238.0,0.22
RICE -BASMOTI,TON,DENMARK,790.0,0.79
RICE -BASMOTI,TON,DJIBOUTI,2485.0,2.41
RICE -BASMOTI,TON,DOMINIC REP,0.0,0.0
RICE -BASMOTI,TON,EGYPT A RP,13845.0,13.22
RICE -BASMOTI,TON,EQUTL GUINEA,86.0,0.11
RICE -BASMOTI,TON,ESTONIA,41.0,0.04
RICE -BASMOTI,TON,ETHIOPIA,5220.0,4.72
RICE -BASMOTI,TON,FIJI IS,370.0,0.41
RICE -BASMOTI,TON,FINLAND,353.0,0.39
RICE -BASMOTI,TON,FRANCE,20940.0,19.33
RICE -BASMOTI,TON,GABON,117.0,0.11
RICE -BASMOTI,TON,GAMBIA,84.0,0.1
RICE -BASMOTI,TON,GEORGIA,17874.0,16.57
RICE -BASMOTI,TON,GERMANY,11641.0,13.96
RICE -BASMOTI,TON,GHANA,623.0,0.53
RICE -BASMOTI,TON,GREECE,3515.0,3.42
RICE -BASMOTI,TON,GUADELOUPE,1362.0,1.16
RICE -BASMOTI,TON,GUINEA,97.0,0.1
RICE -BASMOTI,TON,GUINEA BISSAU,0.0,0.0
RICE -BASMOTI,TON,HAITI,251.0,0.21
RICE -BASMOTI,TON,HONG KONG,1057.0,1.27
RICE -BASMOTI,TON,HUNGARY,256.0,0.27
RICE -BASMOTI,TON,INDONESIA,143.0,0.14
RICE -BASMOTI,TON,IRAN,877420.0,904.73
RICE -BASMOTI,TON,IRAQ,429965.0,435.52
RICE -BASMOTI,TON,IRELAND,797.0,0.89
RICE -BASMOTI,TON,ISRAEL,35628.0,38.45
RICE -BASMOTI,TON,ITALY,45322.0,42.55
RICE -BASMOTI,TON,JAMAICA,369.0,0.57
RICE -BASMOTI,TON,JAPAN,390.0,0.52
RICE -BASMOTI,TON,JORDAN,52060.0,52.73
RICE -BASMOTI,TON,KAZAKHSTAN,96.0,0.11
RICE -BASMOTI,TON,KENYA,5923.0,5.72
RICE -BASMOTI,TON,KOREA RP,245.0,0.27
RICE -BASMOTI,TON,KUWAIT,166873.0,177.91
RICE -BASMOTI,TON,KYRGHYZSTAN,434.0,0.47
RICE -BASMOTI,TON,LATVIA,70.0,0.08
RICE -BASMOTI,TON,LEBANON,12767.0,13.45
RICE -BASMOTI,TON,LIBERIA,39.0,0.05
RICE -BASMOTI,TON,LIBYA,296.0,0.34
RICE -BASMOTI,TON,LITHUANIA,117.0,0.13
RICE -BASMOTI,TON,MACAO,1.0,0.0
RICE -BASMOTI,TON,MADAGASCAR,142.0,0.14
RICE -BASMOTI,TON,MALAWI,7.0,0.01
RICE -BASMOTI,TON,MALAYSIA,32316.0,32.97
RICE -BASMOTI,TON,MALDIVES,1738.0,2.0
RICE -BASMOTI,TON,MALI,1349.0,1.38
RICE -BASMOTI,TON,MALTA,186.0,0.21
RICE -BASMOTI,TON,MARTINIQUE,99.0,0.12
