Commodity,Unit,Country,Quantity,Value
OTHER COMMODITIES,,UNSPECIFIED,,270.889542
OTHER COMMODITIES,,KENYA,,17.159452
OTHER COMMODITIES,,TANZANIA REP,,8.896539
OTHER COMMODITIES,,UGANDA,,5.181412
OTHER COMMODITIES,,BENIN,,2.476015
OTHER COMMODITIES,,BURKINA FASO,,0.452
OTHER COMMODITIES,,CAMEROON,,0.448168
OTHER COMMODITIES,,C AFRI REP,,0.001924
OTHER COMMODITIES,,CHAD,,0.004635
OTHER COMMODITIES,,CONGO P REP,,1.747451
OTHER COMMODITIES,,GABON,,0.385672
OTHER COMMODITIES,,COTE D' IVOIRE,,1.864063
OTHER COMMODITIES,,MADAGASCAR,,0.68048
OTHER COMMODITIES,,MAURITANIA,,1.082959
OTHER COMMODITIES,,MAURITIUS,,3.189677
OTHER COMMODITIES,,NIGER,,0.202926
OTHER COMMODITIES,,RWANDA,,0.662748
OTHER COMMODITIES,,SENEGAL,,3.675454
OTHER COMMODITIES,,TOGO,,1.905975
OTHER COMMODITIES,,CONGO D. REP.,,1.177996
OTHER COMMODITIES,,ANGOLA,,0.642994
OTHER COMMODITIES,,BOTSWANA,,0.241659
OTHER COMMODITIES,,BURUNDI,,0.054557
OTHER COMMODITIES,,CAPE VERDE IS,,0.129066
OTHER COMMODITIES,,COMOROS,,0.092474
OTHER COMMODITIES,,DJIBOUTI,,0.495789
OTHER COMMODITIES,,ETHIOPIA,,3.845262
OTHER COMMODITIES,,ERITREA,,0.088391
OTHER COMMODITIES,,EQUTL GUINEA,,0.07923
OTHER COMMODITIES,,GAMBIA,,0.121039
OTHER COMMODITIES,,GHANA,,4.604121
OTHER COMMODITIES,,GUINEA,,1.737687
OTHER COMMODITIES,,GUINEA BISSAU,,0.116671
OTHER COMMODITIES,,LESOTHO,,0.000928
OTHER COMMODITIES,,LIBERIA,,0.512861
OTHER COMMODITIES,,MALAWI,,2.306195
OTHER COMMODITIES,,MALI,,1.003219
OTHER COMMODITIES,,MOZAMBIQUE,,1.089194
OTHER COMMODITIES,,NAMIBIA,,1.003473
OTHER COMMODITIES,,NIGERIA,,17.684824
OTHER COMMODITIES,,REUNION,,0.103463
OTHER COMMODITIES,,SAO TOME,,0.020617
OTHER COMMODITIES,,SEYCHELLES,,0.308286
OTHER COMMODITIES,,SIERRA LEONE,,0.130711
OTHER COMMODITIES,,SOMALIA,,0.184343
OTHER COMMODITIES,,SWAZILAND,,1.288622
OTHER COMMODITIES,,ZAMBIA,,2.616591
OTHER COMMODITIES,,ALGERIA,,4.215784
OTHER COMMODITIES,,EGYPT A RP,,11.7448
OTHER COMMODITIES,,LIBYA,,0.674032
OTHER COMMODITIES,,MOROCCO,,2.772827
OTHER COMMODITIES,,SOUTH AFRICA,,14.027932
OTHER COMMODITIES,,SUDAN,,5.556733
OTHER COMMODITIES,,SOUTH SUDAN,,0.026636
OTHER COMMODITIES,,TUNISIA,,1.252616
OTHER COMMODITIES,,ZIMBABWE,,1.219118
OTHER COMMODITIES,,CANADA,,28.027168
OTHER COMMODITIES,,USA,,443.321409
OTHER COMMODITIES,,US MINOR OUTLYING ISLANDS,,0.490067
